Juge;Seance;Produit;Rang;Epice;Capiteux;Fruite;Vert;Vanille;Notes florales;Boise;Agrume;Fraicheur marine;Gourmand;Oriental;Enveloppant
RL;2;Coco mademoiselle EP;3;0.3;0;4.9;0.1;9.7;9.9;1.1;2.4;0;5.1;8.5;8.6
RL;2;Aromatics Elixir;4;8;9.9;0;0.5;9;0.5;1.4;0;0;0.1;10;10
RL;2;Angel EP;5;10;5;0.6;0;10;0.6;1.5;0.1;0.1;10;10;9.9
RL;2;Pleasures EP;6;0.1;0;9.9;0.3;0;5;0.9;5;0.1;0;0;0
RL;2;Chanel n5 EP;7;9.2;9.9;0;0.6;8.8;5.1;1.1;0;0;0;10;10
RL;2;Linstant EP;8;0;0;1.3;0;5;9.7;1.9;0;0;7.3;9.9;10
RL;2;Jadore ET;9;0;0;0.4;2.4;0;9.9;2.1;4.9;0;0;0;0
RL;2;Shalimar ET;10;10;10;2.2;0.4;9.4;2.4;9.7;1.3;0;0;10;10
RL;2;Jadore EP;11;0;0.1;5;0.7;0;9.5;2.6;7.8;0;0;0;0.8
RL;2;Cinema EP;12;0.1;0;5;0;8;5;2.3;1.1;0.2;5;9.9;10
FH;1;Shalimar ET;1;6;8;1.2;0;0.5;3.3;1.3;0;0;0.7;1.2;8.5
FH;1;Cinema EP;2;0.5;2.3;0;0;5;6;1;0;0.5;1;3.8;5.7
FH;1;Linstant EP;3;0;0.7;2.2;1.5;3.2;5.8;0.5;0.7;0.6;0.8;5;7
FH;1;Jadore EP;4;0;1.2;6.8;2.7;0.5;8.3;1.8;0.7;1.5;0.5;0.7;1.8
FH;1;Pleasures EP;5;1.3;2.8;2.9;1.7;0.5;5.8;1;0.2;1.3;0.5;0.5;2
FH;1;Jadore ET;6;1;1.7;2.5;1;0.7;6.3;1;0.2;0.1;0.7;0.6;1.2
FH;1;Aromatics Elixir;7;6;9.2;5.7;0.3;1.3;2.7;6.3;0.2;0;1;9.1;9.2
FH;1;Chanel n5 EP;8;6;7.6;4.1;2.1;2.2;8.6;1;0.3;0.4;0.2;5.4;9.7
FH;1;Pure Poison EP;9;0.2;2.1;0.6;0.5;0.5;7.3;0.5;0.3;1.4;0.2;0.8;9.2
FH;1;Angel EP;10;1.7;8.7;0.5;0.4;9.2;3.9;0.8;0.2;0.2;9.8;8.3;8.5
FH;1;Lolita Lempicka EP;11;1;8.2;1.2;0.4;6;1.5;1.5;0.3;0.2;9.3;5.7;7.5
FH;1;Coco mademoiselle EP;12;0.6;4.5;1.7;5;5.5;7.3;0.9;0.3;0.2;5.4;4.2;5.5
FH;2;Coco mademoiselle EP;1;0.3;0.5;0.2;1;0.2;5.8;0.5;0.2;0.2;1;1;2.7
FH;2;Lolita Lempicka EP;2;3.2;8.8;2.7;0.3;7.8;1.7;0.2;0.2;0.2;9.2;4;7.9
FH;2;Angel EP;3;1.8;8.8;1.4;0.2;9.5;1;0.2;0.1;0.1;9.5;7;8.8
FH;2;Pure Poison EP;4;0.2;1.6;1;0.2;0.5;7.5;0.5;0.2;0;2.1;0.7;8.5
FH;2;Chanel n5 EP;5;0.4;8;0.3;0.3;0.8;7.8;0.4;0.2;0;0.5;1.2;8.5
FH;2;Aromatics Elixir;6;4;9;2.3;0.3;0.4;3.4;0.2;0.2;0;1.3;7.3;9.3
FH;2;Jadore ET;7;0.5;1.5;6.2;0.6;0.3;6.3;0.3;6.2;0;1;1;4.5
FH;2;Pleasures EP;8;0.2;0.2;1;0.7;1.5;5.5;0.6;0.2;0;0.2;0.5;3.5
FH;2;Jadore EP;9;0.5;2;3;0.5;0.5;5.8;0.3;0.2;0;0.8;0.6;4.5
FH;2;Linstant EP;10;0.3;2.4;0.4;0.4;0.5;5.6;0.5;0.2;0;0.5;0.5;4.2
FH;2;Cinema EP;11;0.5;2;0.5;0.5;0.5;7.5;0.5;0.2;0;0.5;4.2;6.3
FH;2;Shalimar ET;12;5.2;9;3.3;0.5;1.5;2.2;2.3;0.2;0;1.2;8.7;8
